Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Observed frequency (GHz),Velocity (km/s),E_u (K),Comment,Spectrum
data_41,255_spw87,mean,HC3Nv=0 ,J=28-27,254.699488,254.6502461,58,0,"Methanimine. Could also be HC3Nv=0 J=28-27 at 254.699488 (55 km/s). Or NH2CHO 12(9,3)-11(9,2) at 254.726974 (63 km/s).",
data_41,257_spw45,max,OCSv=0,21-20,255.3744558,255.3388067,42,134.82784,"Overlap with previous spw. Could also be 13CH3OHvt=0 9(3,7)-9(2,8)A+- at 255.355916 (19 km/s). Or CH3CHOv=0,1&2 13(1,12)-12(1,11)A-- at 255.384756 (53 km/s).",
data_41,257_spw45,mean,,,,,,,No lines detected.,
data_41,258_spw69,max,CH3OCHOv=0,"22(3,20)-21(3,19)E",257.690306,257.6829653,9,152.26291,I don't have mean/max spectra generated for these. I think there may be an overlap in spws here.,
data_41,258_spw69,max,CH3CNv8=1,"14(7)-13(7),l=1",258.13227,258.122413,11,0,,
data_41,258_spw69,max,HC15Nv=0,3-2,258.156996,258.1224301,40,24.77875,,
data_41,258_spw69,max,SO3&Sigma;v=0,6(6)-5(5),258.255813,258.221245,40,56.49798,,
data_41,258_spw69,max,CH2CHCNv=0,"27(3,24)-26(3,23)",258.285663,258.2212657,75,0,,
data_41,258_spw69,max,H13CNv=0,J=3-2,259.011788,258.9612948,58,24.8615,,
data_41,258_spw69,max,HDCO,"4(2,2)-3(2,1)",259.034772,258.9752169,69,0,,
data_41,258_spw69,mean,H13CNv=0,J=3-2,259.011788,259.0035012,10,24.8615,,
data_41,258_spw69,mean,HDCO,"4(2,2)-3(2,1)",259.034772,259.0035171,36,0,,
data_41,259_spw47,max,34SO2v=0,"29(9,21)-30(8,22)",257.4667274,257.44838,21,591.58785,"SPL doesn't have any good hits, and doesn't have this one anymore.",
data_41,259_spw47,max,SO3&Sigma;v=0,6(6)-5(5),258.255813,258.2203521,41,56.49798,"Could also be CH3CNv8=1 14(5)-13(5),l=1 at 258.2321 (14 km/s).",
data_41,259_spw47,mean,,,,,,,No lines detected.,
data_41,259_spw71,max,H13CO+,"J=3-2,F1=5/2-5/2,F=3-3",260.2552753,260.219821,41,146.75702,"Could also be CH3OCHOv=0 21(3,18)-20(3,17)E at 260.24445 (28 km/s). Only in the core, single velocity component.",
data_41,259_spw71,max,SiOv=0,6-5,260.51802,260.483476,40,43.76165,"Could also be CH3CHOv=0,1&2 14(1,14)-13(1,13)A++ at 260.544027 (70 km/s).",
data_41,259_spw71,mean,H13CO+,"J=3-2,F1=5/2-5/2,F=3-3",260.2552753,260.2197267,41,24.98074,"Could also be CH3OCHOv=0 21(3,18)-20(3,17)E at 260.24445 (29 km/s).",
data_41,259_spw71,mean,SiOv=0,6-5,260.51802,260.486653,36,43.76165,"Could also be CH3CHOv=0,1&2 14(1,14)-13(1,13)A++ at 260.544027 (66 km/s).",
data_41,261_spw109,max,HN13C,J=3-2,261.2633101,261.2275896,41,25.07746,"Could also be CH3OCH3 15(5,10)-15(4,11)EA at 261.2464563 (22 km/s).",
data_41,261_spw109,max,CCHv=0,"N=3-2,J=7/2-5/2,F=4-3",262.0042266,261.9685572,41,0,"Could also be CH3OHvt=0-2 2(1,1)-1(0,1) at 261.805736 (41 km/s). Or SO3&Sigma;v=0 7(6)-6(5) at 261.843684 (41 km/s).",
data_41,261_spw109,max,CCHv=0,"N=3-2,J=5/2-3/2,F=2-1",262.0673312,262.0323889,40,146.58797,There's also another line at 262.0789296. ,
data_41,261_spw109,mean,HN13C,J=3-2,261.2633101,261.227547,41,25.07746,"Could also be CH3OCH3 15(5,10)-15(4,11)EA at 261.2464563 (22 km/s).",
data_41,261_spw109,mean,CCHv=0,"N=3-2,J=7/2-5/2,F=4-3",262.0042266,261.9689533,40,0,"Could also be CH3OHvt=0-2 2(1,1)-1(0,1) at 261.805736 (38 km/s). Or SO3&Sigma;v=0 7(6)-6(5) at 261.843684 (55 km/s).",
data_41,261_spw109,mean,CH3OCHOv=0,"16(10,6)-16(9,7)A",262.088241,262.0292488,68,146.58797,"SPL doesn't have any good hits, and doesn't have this one anymore.",
data_41,263_spw111,max,HNCOv=0,"12(0,12)-11(0,11)",263.748625,263.7113633,42,82.28046,Could also be HC3Nv=0 J=29-28 at 263.792301 (41 km/s).,
data_41,263_spw111,mean,HNCOv=0,"12(0,12)-11(0,11)",263.748625,263.6975527,58,82.28046,Could also be HC3Nv=0 J=29-28 at 263.792301 (41 km/s).,
data_41,264_spw29,max,CH3OHvt=0-2,"6(1,5)-5(2,3)",265.289616,265.2532692,41,0,,
data_41,264_spw29,max,CH3NH2,"6(0)A1-5(0)A2,F=6-5",265.757247,265.71,53,,Methylamine. Observed frequency is an estimate.,
data_41,264_spw29,max,HCNv2=1,"J=3-2,F=3-2,l=1e",265.8524091,265.8178742,39,1049.89177,,
data_41,264_spw29,max,HCNv=0,J=3-2,265.88618,265.8393101,53,25.52118,,See above spectrum.
data_41,264_spw29,max,CH2NH,"4(1,3)-3(1,2),F=4-4",266.2708944,266.22,57,,Observed frequency is an estimate.,
data_41,264_spw29,mean,HCNv2=1,"J=3-2,F=3-2,l=1e",265.8524091,265.8166578,40,1049.89177,,
data_41,266_spw31,max,CH3OHvt=0-2,"5(2,3)-4(1,3)",266.838123,266.8018838,41,0,,
data_41,266_spw31,max,HCO+v=0,3-2,267.5576259,267.501433,63,25.68168,,
data_41,266_spw31,mean,CH3OHvt=0-2,"5(2,3)-4(1,3)",266.838123,266.8038637,39,0,,
data_41,266_spw31,mean,HCO+v=0,3-2,267.5576259,267.4957047,69,25.68168,,
data_41,268_spw89,max,,,,,,167.2893,No reliable identifications.,
data_41,268_spw89,mean,,,,,,,No lines detected.,
data_41,270_spw91,max,H2CS,"8(1,8)-7(1,7)",270.52202,270.4851858,41,0,"Could also be CH3OCHOv=0 22(14,9)-21(14,8)A at 270.501864 (19 km/s).",
data_41,270_spw91,mean,H2CS,"8(1,8)-7(1,7)",270.52202,270.4852898,41,0,"Could also be CH3OCHOv=0 22(14,9)-21(14,8)A at 270.501864 (18 km/s).",
data_41,271_spw49,max,HNCv=0,J=3-2,271.981111,271.9347116,51,26.10691,,
data_41,271_spw49,mean,HNCv=0,J=3-2,271.981111,271.942373,43,26.10691,,
data_41,273_spw51,max,H2CS,"8(0,8)-7(0,7)",274.5208698,274.48,45,,Observed frequency is an estimate.,
data_41,273_spw51,mean,,,,,,,No lines detected.,
